"Item ","","Hit
pellets ","Detailed Pellets To Kill Color Legend : Shot(s) to Kill","","","","","","","","","","","","","","","","","","","","","",""
"","","","1","","","2","","3","","4","","","5","","6","","7","","","8","","9","","",""
"BR-2
Shotgun
Single","","1","5","9","10","11","11","13","16","","2","6","7","7","8","9","11","","8","11","12","13","14","17","20"
"","","2","3","5","5","6","6","7","8","","1","3","4","4","4","5","6","","4","6","6","7","7","9","10"
"","","3","2","3","4","4","4","5","6","","1","2","3","3","3","3","4","","3","4","4","5","5","6","7"
"","","4","2","3","3","3","3","4","4","","1","2","2","2","2","3","3","","2","3","3","4","4","5","5"
"","","5","1","2","2","3","3","3","4","","1","2","2","2","2","2","3","","2","3","3","3","3","4","4"
"","","6","1","2","2","2","2","3","3","","1","1","2","2","2","2","2","","2","2","2","3","3","3","4"
"","","7","1","2","2","2","2","2","3","","1","1","1","1","2","2","2","","2","2","2","2","2","3","3"
"","","8","1","2","2","2","2","2","2","","1","1","1","1","1","2","2","","1","2","2","2","2","3","3"
"Deadrig
Shotgun
Single","","1","6","11","12","13","14","16","20","","2","7","8","8","9","11","13","","9","13","15","16","17","20","24"
"","","2","3","6","6","7","7","8","10","","1","4","4","4","5","6","7","","5","7","8","8","9","10","12"
"","","3","2","4","4","5","5","6","7","","1","3","3","3","3","4","5","","3","5","5","6","6","7","8"
"","","4","2","3","3","4","4","4","5","","1","2","2","2","3","3","4","","3","4","4","4","5","5","6"
"","","5","2","3","3","3","3","4","4","","1","2","2","2","2","3","3","","2","3","3","4","4","4","5"
"","","6","1","2","2","3","3","3","4","","1","2","2","2","2","2","3","","2","3","3","3","3","4","4"
"","","7","1","2","2","2","2","3","3","","1","1","2","2","2","2","2","","2","2","3","3","3","3","4"
"","","8","1","2","2","2","2","2","3","","1","1","1","1","2","2","2","","2","2","2","2","3","3","3"
"","","9","1","2","2","2","2","2","3","","1","1","1","1","1","2","2","","1","2","2","2","2","3","3"
"","","10","1","2","2","2","2","2","2","","1","1","1","1","1","2","2","","1","2","2","2","2","2","3"
"","","11","1","1","2","2","2","2","2","","1","1","1","1","1","1","2","","1","2","2","2","2","2","3"
"","","12","1","1","1","2","2","2","2","","1","1","1","1","1","1","2","","1","2","2","2","2","2","2"
"","","13","1","1","1","1","2","2","2","","1","1","1","1","1","1","1","","1","1","2","2","2","2","2"
"","","14","1","1","1","1","1","2","2","","1","1","1","1","1","1","1","","1","1","2","2","2","2","2"
"","","15","1","1","1","1","1","2","2","","1","1","1","1","1","1","1","","1","1","1","2","2","2","2"
"","","16","1","1","1","1","1","1","2","","1","1","1","1","1","1","1","","1","1","1","1","2","2","2"
"Devastator
Shotgun
Single","","1","5","10","11","12","13","15","18","","2","7","8","8","9","10","12","","8","12","14","15","16","18","22"
"","","2","3","5","6","6","7","8","9","","1","4","4","4","5","5","6","","4","6","7","8","8","9","11"
"","","3","2","4","4","4","5","5","6","","1","3","3","3","3","4","4","","3","4","5","5","6","6","8"
"","","4","2","3","3","3","4","4","5","","1","2","2","2","3","3","3","","2","3","4","4","4","5","6"
"","","5","1","2","3","3","3","3","4","","1","2","2","2","2","2","3","","2","3","3","3","4","4","5"
"","","6","1","2","2","2","3","3","3","","1","2","2","2","2","2","2","","2","2","3","3","3","3","4"
"","","7","1","2","2","2","2","3","3","","1","1","2","2","2","2","2","","2","2","2","3","3","3","4"
"","","8","1","2","2","2","2","2","3","","1","1","1","1","2","2","2","","1","2","2","2","2","3","3"
"","","9","1","2","2","2","2","2","2","","1","1","1","1","1","2","2","","1","2","2","2","2","2","3"
"","","10","1","1","2","2","2","2","2","","1","1","1","1","1","1","2","","1","2","2","2","2","2","3"
"","","11","1","1","1","2","2","2","2","","1","1","1","1","1","1","2","","1","2","2","2","2","2","2"
"","","12","1","1","1","1","2","2","2","","1","1","1","1","1","1","1","","1","1","2","2","2","2","2"
"Devastator
Shotgun
Charge
Single","","1","4","8","9","9","10","12","14","","2","5","6","6","7","8","10","","7","10","11","12","13","15","18"
"","","2","2","4","5","5","5","6","7","","1","3","3","3","4","4","5","","4","5","6","6","7","8","9"
"","","3","2","3","3","3","4","4","5","","1","2","2","2","3","3","4","","3","4","4","4","5","5","6"
"","","4","1","2","3","3","3","3","4","","1","2","2","2","2","2","3","","2","3","3","3","4","4","5"
"","","5","1","2","2","2","2","3","3","","1","1","2","2","2","2","2","","2","2","3","3","3","3","4"
"","","6","1","2","2","2","2","2","3","","1","1","1","1","2","2","2","","2","2","2","2","3","3","3"
"","","7","1","2","2","2","2","2","2","","1","1","1","1","1","2","2","","1","2","2","2","2","3","3"
"","","8","1","1","2","2","2","2","2","","1","1","1","1","1","1","2","","1","2","2","2","2","2","3"
"","","9","1","1","1","1","2","2","2","","1","1","1","1","1","1","2","","1","2","2","2","2","2","2"
"","","10","1","1","1","1","1","2","2","","1","1","1","1","1","1","1","","1","1","2","2","2","2","2"
"","","11","1","1","1","1","1","2","2","","1","1","1","1","1","1","1","","1","1","1","2","2","2","2"
"","","12","1","1","1","1","1","1","2","","1","1","1","1","1","1","1","","1","1","1","1","2","2","2"
"Prism
Laser
Shotgun","","1","8","15","17","18","19","23","27","","3","10","11","11","13","15","18","","13","19","21","22","24","28","34"
"","","2","4","8","9","9","10","12","14","","2","5","6","6","7","8","9","","7","10","11","11","12","14","17"
"","","3","3","5","6","6","7","8","9","","1","4","4","4","5","5","6","","5","7","7","8","8","10","12"
"","","4","2","4","5","5","5","6","7","","1","3","3","3","4","4","5","","4","5","6","6","6","7","9"
"","","5","2","3","4","4","4","5","6","","1","2","3","3","3","3","4","","3","4","5","5","5","6","7"
"","","6","2","3","3","3","4","4","5","","1","2","2","2","3","3","3","","3","4","4","4","4","5","6"
"","","7","2","3","3","3","3","4","4","","1","2","2","2","2","3","3","","2","3","3","4","4","4","5"
"","","8","1","2","3","3","3","3","4","","1","2","2","2","2","2","3","","2","3","3","3","3","4","5"
"R97
Shotgun
Rapid","","1","13","26","30","32","34","40","48","","5","18","20","20","23","27","32","","22","33","37","40","42","50","60"
"","","2","7","13","15","16","17","20","24","","3","9","10","10","12","14","16","","11","17","19","20","21","25","30"
"","","3","5","9","10","11","12","14","16","","2","6","7","7","8","9","11","","8","11","13","14","14","17","20"
"","","4","4","7","8","8","9","10","12","","2","5","5","5","6","7","8","","6","9","10","10","11","13","15"
"","","5","3","6","6","7","7","8","10","","1","4","4","4","5","6","7","","5","7","8","8","9","10","12"
"","","6","3","5","5","6","6","7","8","","1","3","4","4","4","5","6","","4","6","7","7","7","9","10"
"","","7","2","4","5","5","5","6","7","","1","3","3","3","4","4","5","","4","5","6","6","6","8","9"
"","","8","2","4","4","4","5","5","6","","1","3","3","3","3","4","4","","3","5","5","5","6","7","8"
"R97
Shotgun
Single","","1","12","24","27","29","31","36","44","","4","16","18","18","21","24","29","","20","30","33","36","38","45","54"
"","","2","6","12","14","15","16","18","22","","2","8","9","9","11","12","15","","10","15","17","18","19","23","27"
"","","3","4","8","9","10","11","12","15","","2","6","6","6","7","8","10","","7","10","11","12","13","15","18"
"","","4","3","6","7","8","8","9","11","","1","4","5","5","6","6","8","","5","8","9","9","10","12","14"
"","","5","3","5","6","6","7","8","9","","1","4","4","4","5","5","6","","4","6","7","8","8","9","11"
"","","6","2","4","5","5","6","6","8","","1","3","3","3","4","4","5","","4","5","6","6","7","8","9"
"","","7","2","4","4","5","5","6","7","","1","3","3","3","3","4","5","","3","5","5","6","6","7","8"
"","","8","2","3","4","4","4","5","6","","1","2","3","3","3","3","4","","3","4","5","5","5","6","7"
"","","9","2","3","3","4","4","4","5","","1","2","2","2","3","3","4","","3","4","4","4","5","5","6"
"","","10","2","3","3","3","4","4","5","","1","2","2","2","3","3","3","","2","3","4","4","4","5","6"
"","","11","2","3","3","3","3","4","4","","1","2","2","2","2","3","3","","2","3","3","4","4","5","5"
"","","12","1","2","3","3","3","3","4","","1","2","2","2","2","2","3","","2","3","3","3","4","4","5"
"Ravager-212
Twin
Shotgun
Single","","1","8","15","17","18","19","22","27","","3","10","11","11","13","15","18","","12","18","21","22","24","28","34"
"","","2","4","8","9","9","10","11","14","","2","5","6","6","7","8","9","","6","9","11","11","12","14","17"
"","","3","3","5","6","6","7","8","9","","1","4","4","4","5","5","6","","4","6","7","8","8","10","12"
"","","4","2","4","5","5","5","6","7","","1","3","3","3","4","4","5","","3","5","6","6","6","7","9"
"","","5","2","3","4","4","4","5","6","","1","2","3","3","3","3","4","","3","4","5","5","5","6","7"
"","","6","2","3","3","3","4","4","5","","1","2","2","2","3","3","3","","2","3","4","4","4","5","6"
"","","7","2","3","3","3","3","4","4","","1","2","2","2","2","3","3","","2","3","3","4","4","4","5"
"","","8","1","2","3","3","3","3","4","","1","2","2","2","2","2","3","","2","3","3","3","3","4","5"
"Salvo
Frag
Pistol
Charge
Single","","1","5","9","10","10","11","13","16","","2","6","7","7","8","9","11","","7","11","12","13","14","16","20"
"","","2","3","5","5","5","6","7","8","","1","3","4","4","4","5","6","","4","6","6","7","7","8","10"
"","","3","2","3","4","4","4","5","6","","1","2","3","3","3","3","4","","3","4","4","5","5","6","7"
"","","4","2","3","3","3","3","4","4","","1","2","2","2","2","3","3","","2","3","3","4","4","4","5"
"","","5","1","2","2","2","3","3","4","","1","2","2","2","2","2","3","","2","3","3","3","3","4","4"
"","","6","1","2","2","2","2","3","3","","1","1","2","2","2","2","2","","2","2","2","3","3","3","4"
"","","7","1","2","2","2","2","2","3","","1","1","1","1","2","2","2","","1","2","2","2","2","3","3"
"","","8","1","2","2","2","2","2","2","","1","1","1","1","1","2","2","","1","2","2","2","2","2","3"
"Tripledown
Pistol
Single","","1","4","8","9","10","11","12","15","","2","6","6","6","7","8","10","","7","10","11","12","13","15","18"
